Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
U1,XL7015E1,TO-252-5L,73.0,16.0,0,Top
U2,B0505S-1WR3,SIP-4,35.0,33.0,90,Top
U3,CA-IS3082WX,SOIC-16-WB,26.5,33.0,0,Top
U4,CA-IS3050G,SOIC-16-WB,47.0,33.0,0,Top
U5,ADuM1201ARZ,SOIC-8,70.0,33.0,0,Top
U6,CMT2300A_RF,Castellated-1.27mm,9.0,20.0,0,Top
L1,330uH,SMD12x12mm,63.0,16.0,0,Top
D1,SS310,SMC,68.0,22.0,180,Top
D2,SM712,SOT-23,26.5,42.0,0,Top
D3,NUP2105L,SOT-23,47.0,42.0,0,Top
C1,47uF 100V,Radial-8x11.5,78.0,10.0,0,Top
C3,220uF 16V,Radial-6.3x11,58.0,16.0,0,Top
J1,5.00mm 2P,5.00mm-2P,9.0,51.5,0,Top
J2,5.00mm 3P,5.00mm-3P,26.5,51.5,0,Top
J3,5.00mm 3P,5.00mm-3P,47.0,51.5,0,Top
J4,5.00mm 4P,5.00mm-4P,70.0,51.5,0,Top
J5,Socket 1x22,2.54mm-1x22,22.0,23.0,90,Top
J6,Socket 1x22,2.54mm-1x22,47.4,23.0,90,Top
J7,Socket 1x4,2.54mm-1x4,35.0,7.5,0,Top
